Date,^GSPC,DJI,Nikkei,IBEX,VIX
2014-07-17,1958.1199951171875,16976.810546875,15370.259765625,10543.2890625,14.539999961853027
2014-07-18,1978.219970703125,17100.1796875,15215.7099609375,10526.9892578125,12.0600004196167
2014-07-22,1983.530029296875,17113.5390625,15343.2802734375,10648.8896484375,12.239999771118164
2014-07-23,1987.010009765625,17086.630859375,15328.5595703125,10659.0888671875,11.520000457763672
2014-07-24,1987.97998046875,17083.80078125,15284.419921875,10860.689453125,11.84000015258789
2014-07-25,1978.3399658203125,16960.5703125,15457.8701171875,10888.0888671875,12.6899995803833
2014-07-28,1978.9100341796875,16982.58984375,15529.400390625,10879.7890625,12.5600004196167
2014-07-29,1969.949951171875,16912.109375,15618.0703125,10901.189453125,13.279999732971191
2014-07-30,1970.0699462890625,16880.359375,15646.23046875,10937.3896484375,13.329999923706055
2014-07-31,1930.6700439453125,16563.30078125,15620.76953125,10707.189453125,16.950000762939453
2014-08-01,1925.1500244140625,16493.369140625,15523.1103515625,10513.9892578125,17.030000686645508
2014-08-04,1938.989990234375,16569.279296875,15474.5,10496.189453125,15.119999885559082
2014-08-05,1920.2099609375,16429.470703125,15320.3095703125,10353.7890625,16.8700008392334
2014-08-06,1920.239990234375,16443.33984375,15159.7900390625,10246.189453125,16.3700008392334
2014-08-07,1909.5699462890625,16368.26953125,15232.3701171875,10078.58984375,16.65999984741211
2014-08-08,1931.5899658203125,16553.9296875,14778.3701171875,10104.7900390625,15.770000457763672
2014-08-11,1936.9200439453125,16569.98046875,15130.51953125,10193.4892578125,14.229999542236328
2014-08-12,1933.75,16560.5390625,15161.3095703125,10241.4892578125,14.130000114440918
2014-08-13,1946.719970703125,16651.80078125,15213.6298828125,10303.9892578125,12.899999618530273
2014-08-14,1955.1800537109375,16713.580078125,15314.5703125,10294.7890625,12.420000076293945
2014-08-15,1955.06005859375,16662.91015625,15318.33984375,10222.189453125,13.149999618530273
2014-08-18,1971.739990234375,16838.740234375,15322.599609375,10353.3896484375,12.319999694824219
2014-08-19,1981.5999755859375,16919.58984375,15449.7900390625,10386.4892578125,12.210000038146973
2014-08-20,1986.510009765625,16979.130859375,15454.4501953125,10420.8896484375,11.779999732971191
2014-08-21,1992.3699951171875,17039.490234375,15586.2001953125,10556.3896484375,11.760000228881836
2014-08-22,1988.4000244140625,17001.220703125,15539.1904296875,10500.189453125,11.470000267028809
2014-08-25,1997.9200439453125,17076.869140625,15613.25,10690.0888671875,11.699999809265137
2014-08-26,2000.02001953125,17106.69921875,15521.2197265625,10826.8896484375,11.630000114440918
2014-08-27,2000.1199951171875,17122.009765625,15534.8203125,10837.3896484375,11.779999732971191
2014-08-28,1996.739990234375,17079.5703125,15459.8603515625,10722.189453125,12.050000190734863
2014-08-29,2003.3699951171875,17098.44921875,15424.58984375,10728.7890625,12.09000015258789
2014-09-02,2002.280029296875,17067.560546875,15668.599609375,10754.9892578125,12.25
2014-09-03,2000.719970703125,17078.279296875,15728.349609375,10886.7890625,12.359999656677246
2014-09-04,1997.6500244140625,17069.580078125,15676.1796875,11100.087890625,12.640000343322754
2014-09-05,2007.7099609375,17137.359375,15668.6796875,11148.888671875,12.09000015258789
2014-09-08,2001.5400390625,17111.419921875,15705.1103515625,11102.587890625,12.65999984741211
2014-09-09,1988.43994140625,17013.869140625,15749.150390625,10951.5888671875,13.5
2014-09-10,1995.68994140625,17068.7109375,15788.7802734375,10937.7890625,12.880000114440918
2014-09-11,1997.449951171875,17049.0,15909.2001953125,10886.2890625,12.800000190734863
